topic,category,question,answer,keywords,timestamp
تجديد الفيزا,Visa/Immigration,كيف يتم الدفع لتجديد الفيزا وEMGS؟,يتم إعطاؤك رقم حساب لتحويل المبلغ مباشرة، وعليك رفع صورة من الإيصال بصيغة PDF. الرسوم الإدارية ستكون حوالي 110 رنجيت. المبلغ المحدد ستجده عندما تصل لمرحلة الدفع.,"['فيزا', 'تجديد', 'EMGS']",2024-01-23
قيادة السيارات داخل الجامعة,Student Life,لماذا يمنع طلاب السنة الأولى من قيادة السيارات داخل الجامعة؟,يمنع طلاب السنة الأولى من قيادة السيارات داخل الحرم الجامعي وفقًا لقواعد UTM. هذا التقييد مرتبط بتوجيهات محددة داخل الجامعة.,"['قيادة السيارات', 'السنة الأولى', 'قواعد الجامعة']",2024-01-22
اختبارات تقوية لكيمياء,Academic,هل هناك دروس تقوية لمادة الكيمياء لطُلاب السنة التأهيلية؟,نعم، سيتم تنظيم دروس تقوية لحضور مراجعة للاختبار النهائي لمادة كيمياء، المحاضر هو مهند الصبري، وستكون في 24/01/2024 في الساعة 2:00 مساءً في القاعة P19A BT4.,"['دروس تقوية', 'كيمياء', 'اختبار نهائي']",2024-01-22
الإجازة الجامعية,Academic,هل غدًا عطلة حسب التقويم الجامعي؟,نعم، غدًا عطلة حسب التقويم الجامعي.,"['عطلة', 'التقويم الجامعي']",2024-01-24
University Holiday Inquiry,Academic,هل بكره عطله؟,حسب التقويم الجامعي نعم في إجازة,"['holiday', 'university calendar']",2024-01-24
Academic Calendar Request,Academic,هل حد يرسل التقويم الجامعي للفصل هذا والجاي؟,ACADEMIC-CALENDAR-DEGREE-AND-POSTGRADUATE-2023-2024-1.pdf,"['academic calendar', 'academic year']",2024-01-24
Direct PhD Admission,Academic,هل صحيح ان طلاب البكالوريوس اذا جابوا GPA معين يقدروا يأخذوا الدكتوراه دايركت بدون الماجستير؟,نعم .. معدل CGPA فوق 3.67/4.00,"['PhD admission', 'GPA requirement']",2024-01-25
PhD Application Process,Academic,هل يوجد برزنتيشن أولي أو تقديم أولي للمشروع قبل الموافقة على إكمال الطالب للدكتوراه؟,نعم، هناك برزنتيشن أولي يتم بناءً عليه الموافقة على إكمال الطالب للدكتوراه.,"['PhD process', 'presentation']",2024-01-25
Visa Application for Saudi Arabia,Visa/Immigration,هل احد يعرف رقم او موقع المكتب الخاص بالتقديم على فيزا الزيارة للسعودية؟,هذا طلعت من عنده الفيزا مرتين,"['visa', 'Saudi Arabia']",2024-01-26
Visa Requirements for Indonesia,Visa/Immigration,هل من لديه معلومات عن الفيزا لإندونيسيا؟,فيزا سياحية شهرين قابلة للتمديد. التكلفة 7 أيام عمل 950 رنجت. مستعجل 3 أيام عمل 1150 رنجت.,"['Indonesia', 'visa', 'requirements']",2024-01-29
Electricity Engineering Graduation Ceremony,Academic,متى موعد حفل التخرج الجاي لطلاب الكهرباء؟,غالبا شهر 10 او 11,"['graduation', 'Electrical Engineering']",2024-01-29
Microprocessor Revision Classes,Academic,هل هناك دروس تقوية لمراجعة اختبار الميكروفروسسور؟,نعم، هناك درس تقوية يوم الخميس ، 01/02/2024 (أونلاين) على منصة Zoom.,"['microprocessor', 'revision classes']",2024-01-30
Optical Services Inquiry,Student Life,هل أحد يعرف مكان يسوي نظارات طبية بسعر كويس؟,فيه بجمب ZUS TamanU كان عليه عرض من فتره نسيت بكم بس كله مع العدسات أقل من ١٠٠ اتوقع م اتذكر.,"['نظارات طبية', 'سعر كويس', 'ZUS TamanU']",2024-03-01
Special Registration for Classes,Academic,متى يقدر يسجل في السبيشال ريجيستريشن؟,قبل السمستر بيومين يوم الأربعاء الثاني تاريخ 13 مارس.,"['سبيشال ريجيستريشن', 'تاريخ التسجيل']",2024-03-05
Visa Inquiry Related to Study,Visa/Immigration,هل صحيح إذا الطالب ماكنسل فيزته يمنع من دخول ماليزيا فتره؟,لا، بس إذا يبغا يكمل دراسة ماستر أو شي تكون صعبة عليهم في ال EMGS، الأفضل في كل الأحوال أن تكينسلها.,"['كحلة', 'الفيزة', 'ماليزيا']",2024-03-05
Airline Baggage Policy,Other,هل مسموح لي وزن 7kg في طيران AirAsia يعني أقدر أخذ شنطة ظهر وشنطة 7 كيلو؟,اذا كانت رحلتك محلية فما يدقرو مره، لكن لو دولية يوزنو الشنطة ويتأكدوا انها 7 كيلو وشنطة الظهر عادي مالها دخل.,"['AirAsia', 'وزن الشنطة', 'سياسة الأمتعة']",2024-03-03
Dental Services at University,Academic,هل يمكن اركب حشوة في عيادة الجامعة؟,يب، حشوة عادية ب60 تقريبا، لازم كاش.,"['عيادة الجامعة', 'حشوة', 'تكلفة']",2024-03-05
Car Rental Warning,Other,هل يتوجب التعامل مع شخص محدد لاستئجار سيارة؟,نصيحة لوجه الله، لا تتعاملوا مع الشخص هذا بسبب تجارب سيئة.,"['استئجار سيارة', 'تحذير']",2024-03-02
Sending Money from Malaysia to Emirates,Academic,حد عنده طريقة تحويل مبلغ مالي من ماليزيا الى الامارات؟ غير western union,Moneygram,"['money transfer', 'Malaysia', 'Emirates', 'Moneygram']",2024-03-09
LaNquasical Exam Experience,Academic,ممكن أحد اختبر اللا نقوقسكل يفيدنا كيف كانت تجربته وكيف اختبر,Language skills?,"['exam', 'laNquasical', 'experience']",2024-03-09
Converting Funds from Yemen,Academic,اذا بستلم حوالة من اليمن افضل نحول عبر ويسترن يونيون وموني قرام ولا نحول عبر المحولين من ياخذوا عمولة اقل,موني جرام. حسب التجربه.,"['money transfer', 'Yemen', 'Western Union', 'MoneyGram']",2024-03-08
Finding a Suitable Location for Barbershop,Student Life,شباب وين موقع الحلاق العربي,https://maps.app.goo.gl/TcGCkp27HAFfR3fY9,"['barbershop', 'location', 'Arabic barber']",2024-03-08
Finding Students in UTHM,Student Life,هل في احد يعرف طالب يدرس في جامعه UTHM؟,نعم تفضل,"['UTHM', 'student']",2024-03-08
Money Transfer Process for Foreign Accounts,Academic,هل في حد يعرف كيف احول فلوس لحساب بنكي خارج ماليزيا؟,نضحك و الا نبكي.,"['money transfer', 'Malaysia', 'foreign accounts']",2024-03-08
Finding Rental Properties,Student Life,"يا اخوان نحتاج غرفتين في هذه الاماكن Desa, Melana, melawis",الشباب يعرضوا غرف متاحه في ذا الجروب,"['housing', 'rent', 'Desa', 'Melana', 'melawis']",2024-03-08
Academic Requirements for Course Completion,Academic,هل في فايدة للميريت غير هذي المادة؟,هي اثبات لك انك حضرت الفعاليه.,"['ميريت', 'مادة', 'أنشطة', 'حضور']",2024-03-12
Class Schedule During Ramadan,Academic,الان الدراسه اونلاين بالكامل في شهر رمضان او كيف؟,مواد التخصص حضوري. المواد العامه زي اللغه اونلاين. كليه الكمبيوتر بالكامل اون لاين في شهر رمضان.,"['دراسة', 'أونلاين', 'رمضان', 'مواد التخصص']",2024-03-12
Visa Requirements for Tourists,Visa/Immigration,لو في احد بيجي سياحة لماليزيا ايش الاجراءات؟,ياخذ single entry visa من السفارة، ويوم يجي ماليزيا يكون معاه حجز فندق وتذكرة العودة ومبلغ كاش.,"['تأشيرة', 'سياحة', 'ماليزيا', 'حجز فندق']",2024-03-13
Renewing Internet Subscription,Other,كيف اكنسل اشتراك الانترنت واسترجع الديبوزت حق gigabit fiber؟,اذا كان النت الياف وكاتب الاشتراك بإسمك وتبي تكنسله اتوقع مستحيل يرجعون الديبوزت لك ولازم تكمل الاشهر الباقيه عليك.,"['اشتراك الانترنت', 'ديبوزت', 'غيغابيت فايبر']",2024-03-13
Contacting Academic Office,Academic,احد عنده رقم الاكاديمك اوفيس لكلية السيفل؟,fka-ug@utm.my,"['الاتصال', 'مكتب أكاديمي', 'كلية السيفل', 'بريد إلكتروني']",2024-03-13
Travel Ticket Requirements,Visa/Immigration,هل يوجد طريقة اقدر اطلع فيها تذكرة سفر وهمية؟,لازم تدفع عليها حول ال ١٥٠ رنجت.,"['تذكرة سفر', 'إجراءات سفر', 'ماليزيا']",2024-03-13
Visa Requirements for Yemeni Students,Visa/Immigration,هل يقدر يرجع ماليزيا سياحة ؟ وهل لازم يطلع فيزا او ايش المتطلبات قبل ما يجي?,حسب كلام ال UTMi لي، اذا رجع سياحة مافي اي مشكلة، بس يتأكد من طلبات فيزة السياحة.,"['ماليزي', 'سياحة', 'فيزا']",2024-03-16
Obtaining a Bank Account as a Yemeni Student,Student Life,عندي سال بنك CIMB يفتح للطلاب اليمنين?,للأسف لا، لكن حاول في RHB او Maybank.,"['بنك', 'CIMB', 'طلاب يمنيين']",2024-03-16
Electrical Work Availability in Melawis,Other,هل في واحد يصلح كهرباء في ميلاوس؟,تم توفير معلومات الاتصال بشخص مؤهل.,"['كهرباء', 'ميلاوس', 'خدمات']",2024-03-15
Change of Visa Status After Studies,Visa/Immigration,هل بعد انتهاء الفيزا الدراسية يجب أن أكنسله؟,المفروض تبلغ الجامعة انه خلص و يرسل لهم صورة ختم الخروج من ماليزيا.,"['فيزا', 'الدراسة', 'الجامعة']",2024-03-16
MVU Amendment Opening Dates,Academic,الساعة كم بيفتحوا ال Amendment؟,يوم ٢٤.,"['تعديل', 'مدة', 'فتح']",2024-03-16
Finding Schedule for English Course,Academic,شباب احد عنده جدول انجلش 2 uhlb2122 حق كلية الكهرباء؟,تم توفير رابط للجدول.,"['جدول', 'انجليزي', 'كلية الكهرباء']",2024-03-16
Getting Traffic Violations Information,Other,كيف اشوف مخالفات المرورية؟ وهل المرور ينقل ملكية السيارة بمخالفاتها ولا لازم تسدد؟,تقدر تسجل في موقع PDRM و بعدين تشيك برقم اللوحة و الجواز.,"['مخالفات', 'مرورية', 'سيارة']",2024-03-15
Visa Renewal Fees,Visa/Immigration,السلام عليكم ، كم رسوم تجديد الفيزا؟,أنا مجدد الفيزا قبل فتره ب 803.4 رنجت,"['visa', 'renewal', 'fees']",2024-03-20
